subject,side,trial,speed,velocity
P01,right,1,slow,52.614395358647066
P01,right,2,slow,36.5148850828678
P01,right,3,slow,43.42928808267906
P01,right,4,medium,117.18472216837756
P01,right,5,medium,64.36144840097637
P01,right,6,medium,59.38078566472514
P01,right,7,fast,161.48770316483322
P01,right,8,fast,199.66016062311473
P01,right,9,fast,120.09743072502475
P01,left,1,slow,90.44650585568554
P01,left,2,slow,36.0239429368865
P01,left,3,slow,69.56125799483863
P01,left,4,medium,26.691928879740935
P01,left,5,medium,164.0573153090839
P01,left,6,medium,65.34436227210728
P01,left,7,fast,238.18957677896955
P01,left,8,fast,210.25335264885945
P01,left,9,fast,196.84990750098322
P02,right,1,slow,49.19603814668974
P02,right,2,slow,36.20579981003345
P02,right,3,slow,60.915453615700606
P02,right,4,medium,117.69523658090584
P02,right,5,medium,140.0692347585891
P02,right,6,medium,96.29789776007286
P02,right,7,fast,234.55852168018072
P02,right,8,fast,283.100651869327
P02,right,9,fast,194.66515645931278
P02,left,1,slow,46.00825735001361
P02,left,2,slow,32.94997185307301
P02,left,3,slow,31.088122877299515
P02,left,4,medium,23.410910129397458
P02,left,5,medium,42.74305330719815
P02,left,6,medium,36.62967441688286
P02,left,7,fast,114.64553141873043
P02,left,8,fast,95.26105193787214
P02,left,9,fast,113.78533255324348
P03,right,1,slow,50.164377725348075
P03,right,2,slow,43.81133854532722
P03,right,3,slow,42.71078399980607
P03,right,4,medium,118.0868324594874
P03,right,5,medium,131.124060721942
P03,right,6,medium,73.66044296337364
P03,right,7,fast,203.42172311445134
P03,right,8,fast,246.19019613100275
P03,right,9,fast,238.957739064113
P03,left,1,slow,44.99183000746802
P03,left,2,slow,24.854320322142264
P03,left,3,slow,43.39474054544912
P03,left,4,medium,145.42734681637094
P03,left,5,medium,36.27198184588904
P03,left,6,medium,44.76487546601833
P03,left,7,fast,22.404047729646706
P03,left,8,fast,129.840264690392
P03,left,9,fast,77.47841374998812
